Year, GDP,,
1990,1234.5309,,
1991,734.9442,,
1992,60.2351,,
1993,209.531,,
1994,157.0635,,
1995,314.5582,,
1996,409.1856,,
1997,505.5162,,
1998,561.907,,
1999,573.8933,,
2000,655.0974,,
2001,703.6713,,
2002,763.1088,,
2003,883.6926,,
2004,1045.0142,, 
2005,1578.3673,, 
2006,2472.9573,,
2007,3851.331,,
2008,5574.471,,
2009,4950.3974,,
2010,5843.5338,,
2011,7189.8152,,
2012,7495.8619,,
2013,7875.3446,,
2014,7890.8353,,
2015,5500.5046,,
2016,3880.6863,,
2017,4147.1986,,
2018,4739.7952,,
2019,4805.7537,,
2020,4229.9106,,
2021,5408.0454,,
2022,7736.7012,,
